name,pv_or_formula,color,visible_by_default,description
x3,BPMZ3L2RP:rdX,,varies,PV used in diagnostics
y3,BPMZ3L2RP:rdY,,varies,PV used in diagnostics
x4,BPMZ4L2RP:rdX,,varies,PV used in diagnostics
y4,BPMZ4L2RP:rdY,,varies,PV used in diagnostics
x5,BPMZ5L2RP:rdX,,varies,PV used in diagnostics
y5,BPMZ5L2RP:rdY,,varies,PV used in diagnostics
x6,BPMZ6L2RP:rdX,,varies,PV used in diagnostics
y6,BPMZ6L2RP:rdY,,varies,PV used in diagnostics
I1,HS1P2K3RP:setCur,,varies,PV used in diagnostics
I2,HS3P1L4RP:setCur,,varies,PV used in diagnostics
I3,HS3P2L4RP:setCur,,varies,PV used in diagnostics
I4,HS1P1K1RP:setCur,,varies,PV used in diagnostics
tuneX,TUNEZRP:measX,,varies,PV used in diagnostics
tuneY,TUNEZRP:measY,,varies,PV used in diagnostics
tuneZ,TUNEZRP:measZ,,varies,PV used in diagnostics
sig,SCOPE1ZULP:h1p1:rdAmplAv,,varies,PV used in diagnostics
sigraw,SCOPE1ZULP:h1p1:rdAmpl,,varies,PV used in diagnostics
sig2,SCOPE1ZULP:h1p2:rdAmplAv,,varies,PV used in diagnostics
sig3,SCOPE1ZULP:h1p3:rdAmplAv,,varies,PV used in diagnostics
qpdL4x,QPD00ZL4RP:rdSigmaXav,,varies,PV used in diagnostics
qpdL4y,QPD00ZL4RP:rdSigmaYav,,varies,PV used in diagnostics
qpdL2x,QPD01ZL2RP:rdSigmaXav,,varies,PV used in diagnostics
qpdL2y,QPD01ZL2RP:rdSigmaYav,,varies,PV used in diagnostics
cur,CUM1ZK3RP:rdCur,,varies,PV used in diagnostics
lt100,CUM1ZK3RP:rdLt100,,varies,PV used in diagnostics
lt3,CUM1ZK3RP:rdLt3,,varies,PV used in diagnostics
energy,ERMPCGP:rdRmp,,varies,PV used in diagnostics
rf,MCLKHGP:rdFrq499,,varies,PV used in diagnostics
rfset,MCLKHGP:setFrq499,,varies,PV used in diagnostics
cav,PAHRP:NRVD:rdVoltCav,,varies,PV used in diagnostics
cavset,PAHRP:setVoltCav,,varies,PV used in diagnostics
q1,Q1P1L2RP:setCur,,varies,PV used in diagnostics
u125gap,U125IL2RP:BasePmGap.A,,varies,PV used in diagnostics
purity,PURITYCCP:calculation,,varies,PV used in diagnostics
oplife,OPCHECKCCP:calcCurrLife,,varies,PV used in diagnostics
akc05,AKC05VP,,varies,PV used in diagnostics
akc06,AKC06VP,,varies,PV used in diagnostics
akcen,AKC10VP,,varies,PV used in diagnostics
akcgain,AKC11VP,,varies,PV used in diagnostics
akcref,AKC12VP,,varies,PV used in diagnostics
akcdb,AKC13VP,,varies,PV used in diagnostics
m1,MNF1C1L2RP,,varies,PV used in diagnostics
m2,MNF1C2L2RP,,varies,PV used in diagnostics
m3,MNF2C2L2RP,,varies,PV used in diagnostics
m4,MNF2C1L2RP,,varies,PV used in diagnostics
screen,SCRYZK3RP.VAL,,varies,PV used in diagnostics
wfvolt,WFGEN2C1CP:setVolt,,varies,PV used in diagnostics
wfout,WFGEN2C1CP:stOut,,varies,PV used in diagnostics
scopeavglen,SCOPE1ZULP:rdAvLength,,varies,PV used in diagnostics
cavtemp,PAHRP:Ctrl:rdCavTempBody,,varies,PV used in diagnostics
plunger,PAHRP:Ctrl:rdPlngPos,,varies,PV used in diagnostics
