# Created by CS-Studio Data Browser
# 
# Start Time : 2026-05-02 17:17:10.523
# End Time   : 2026-05-02 17:47:10.524
# Source     : Plot
# Format     : Default
# 
# Data is in TAB-delimited columns, for import into e.g. Excel.
# The 'Time' column contains values like '2018-02-04 21:58:47.065'.
# In your spreadsheet program, a custom column format like
#     'yyyy-mm-d h:mm:ss.000'
# might be required to show the full timestamp detail.

# Channel: TUNEZRP:measX
# Name   : dep: TUNEZRP:measX
# Archives:
# 
# Channel: TUNEZRP:measY
# Name   : dep: TUNEZRP:measY
# Archives:
# 
# Channel: TUNEZRP:measZ
# Name   : dep: TUNEZRP:measZ
# Archives:
# 
# Channel: MCLKHGP:rdFrq499
# Name   : dep: MCLKHGP:rdFrq499
# Archives:
# 
# Channel: MCLKHGP:setFrq499
# Name   : dep: MCLKHGP:setFrq499
# Archives:
# 
# Channel: PAHRP:NRVD:rdVoltCav
# Name   : dep: PAHRP:NRVD:rdVoltCav
# Archives:
# 
# Channel: PAHRP:setVoltCav
# Name   : dep: PAHRP:setVoltCav
# Archives:
# 
# Channel: Q1P1L2RP:setCur
# Name   : dep: Q1P1L2RP:setCur
# Archives:
# 
# Channel: CUM1ZK3RP:rdCur
# Name   : dep: CUM1ZK3RP:rdCur
# Archives:
# 
# Channel: CUM1ZK3RP:rdLt100
# Name   : dep: CUM1ZK3RP:rdLt100
# Archives:
# 
# Channel: TUNEZRP:measX
# Name   : νx absolute
# Archives:
# 
# Channel: TUNEZRP:measY
# Name   : νy absolute
# Archives:
# 
# Channel: TUNEZRP:measZ
# Name   : νs absolute
# Archives:
# 
# Channel: mtune_x
# Name   : 0.8 + 1000·(νx−0.1779)
# 
# Channel: mtune_y
# Name   : 2.0 + 1000·(νy−0.2200)
# 
# Channel: mtune_s
# Name   : 3.2 + 1000·(νs−νs_ref=0)
# 
# Channel: MCLKHGP:rdFrq499
# Name   : RF freq readback
# Archives:
# 
# Channel: MCLKHGP:setFrq499
# Name   : RF freq setpoint
# Archives:
# 
# Channel: PAHRP:NRVD:rdVoltCav
# Name   : cavity voltage readback
# Archives:
# 
# Channel: PAHRP:setVoltCav
# Name   : cavity voltage setpoint
# Archives:
# 
# Channel: Q1P1L2RP:setCur
# Name   : Q1 current
# Archives:
# 
# Channel: CUM1ZK3RP:rdCur
# Name   : beam current
# Archives:
# 

# Time	TUNEZRP:measX Value	TUNEZRP:measY Value	TUNEZRP:measZ Value	MCLKHGP:rdFrq499 Value	MCLKHGP:setFrq499 Value	PAHRP:NRVD:rdVoltCav Value	PAHRP:setVoltCav Value	Q1P1L2RP:setCur Value	CUM1ZK3RP:rdCur Value	CUM1ZK3RP:rdLt100 Value	TUNEZRP:measX Value	TUNEZRP:measY Value	TUNEZRP:measZ Value	mtune_x Value	mtune_y Value	mtune_s Value	MCLKHGP:rdFrq499 Value	MCLKHGP:setFrq499 Value	PAHRP:NRVD:rdVoltCav Value	PAHRP:setVoltCav Value	Q1P1L2RP:setCur Value	CUM1ZK3RP:rdCur Value
2026-05-02 14:33:58.983	#N/A	#N/A	#N/A	#N/A	687.752	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	687.752	#N/A	#N/A	#N/A	#N/A
2026-05-02 14:59:09.044	#N/A	#N/A	#N/A	#N/A	687.752	#N/A	100.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	687.752	#N/A	100.00	#N/A	#N/A
2026-05-02 15:37:11.470	#N/A	#N/A	#N/A	#N/A	687.752	#N/A	100.00	21.42313	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	687.752	#N/A	100.00	21.42313	#N/A
2026-05-02 17:26:02.101	#N/A	#N/A	#N/A	687.462	687.752	#N/A	100.00	21.42313	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	687.462	687.752	#N/A	100.00	21.42313	#N/A
2026-05-02 17:28:20.839	#N/A	#N/A	#N/A	687.462	687.752	108.90	100.00	21.42313	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	687.462	687.752	108.90	100.00	21.42313	#N/A
2026-05-02 17:28:22.387	1016.33	#N/A	#N/A	687.462	687.752	108.90	100.00	21.42313	#N/A	#N/A	1016.33	#N/A	#N/A	1,016,156.9	#N/A	#N/A	687.462	687.752	108.90	100.00	21.42313	#N/A
2026-05-02 17:28:22.387	1016.33	1364.85	#N/A	687.462	687.752	108.90	100.00	21.42313	#N/A	#N/A	1016.33	1364.85	#N/A	1,016,156.9	1,364,629	#N/A	687.462	687.752	108.90	100.00	21.42313	#N/A
2026-05-02 17:28:22.387	1016.33	1364.85	14.03	687.462	687.752	108.90	100.00	21.42313	#N/A	#N/A	1016.33	1364.85	14.03	1,016,156.9	1,364,629	14,033.2	687.462	687.752	108.90	100.00	21.42313	#N/A
2026-05-02 17:28:22.585	1016.33	1364.85	14.03	687.462	687.752	108.90	100.00	21.42313	#N/A	0.683	1016.33	1364.85	14.03	1,016,156.9	1,364,629	14,033.2	687.462	687.752	108.90	100.00	21.42313	#N/A
2026-05-02 17:28:22.585	1016.33	1364.85	14.03	687.462	687.752	108.90	100.00	21.42313	0.048	0.683	1016.33	1364.85	14.03	1,016,156.9	1,364,629	14,033.2	687.462	687.752	108.90	100.00	21.42313	0.048
2026-05-02 17:28:23.383	1094.78	1364.85	14.03	687.462	687.752	108.90	100.00	21.42313	0.048	0.683	1094.78	1364.85	14.03	1,094,603.9	1,364,629	14,033.2	687.462	687.752	108.90	100.00	21.42313	0.048
2026-05-02 17:28:23.383	1094.78	1569.40	14.03	687.462	687.752	108.90	100.00	21.42313	0.048	0.683	1094.78	1569.40	14.03	1,094,603.9	1,569,180	14,033.2	687.462	687.752	108.90	100.00	21.42313	0.048
