index,family_name,element_type,section,s_start_m,s_end_m,s_center_m,length_m,power_supply,power_supply_set_pv,power_supply_rd_pv,K,H,role
0,SEP_MARKER,Marker,,0.0,0.0,0.0,0.0,,,,,,Lattice marker
1,DKL2K1RP_1,Drift,,0.0,1.2034,0.6017,1.2034,,,,,,Drift
2,BPMZ5K1RP,Monitor,K1,1.2034,1.2034,1.2034,0.0,,,,,,Beam position monitor
3,DKL2K1RP_2,Drift,,1.2034,1.25,1.2267000000000001,0.046599999999999975,,,,,,Drift
4,S3M2K1RP,Sextupole,K1,1.25,1.35,1.3,0.10000000000000009,S3P1RP,S3P1RP:setCur,S3P1RP:rdCur,0.0,9.0,Sextupole / chromatic correction family member
5,D1L4K1RP,Drift,K1,1.35,1.5,1.425,0.1499999999999999,,,,,,Drift
6,Q3M2K1RP,Quadrupole,K1,1.5,1.7,1.6,0.19999999999999996,Q3P2K1RP,Q3P2K1RP:setCur,Q3P2K1RP:rdCur,5.0973,0.0,Quadrupole focusing element
7,D1L5K1RP,Drift,K1,1.7,1.8499999999999999,1.775,0.1499999999999999,,,,,,Drift
8,Q2M2K1RP,Quadrupole,K1,1.8499999999999999,2.05,1.9499999999999997,0.19999999999999996,Q2P2K1RP,Q2P2K1RP:setCur,Q2P2K1RP:rdCur,-4.4988,0.0,Quadrupole focusing element
9,D3L3K1RP_1,Drift,,2.05,2.1039999999999996,2.077,0.053999999999999826,,,,,,Drift
10,BPMZ6K1RP,Monitor,K1,2.1039999999999996,2.1039999999999996,2.1039999999999996,0.0,,,,,,Beam position monitor
11,D3L3K1RP_2,Drift,,2.1039999999999996,2.4749999999999996,2.2894999999999994,0.371,,,,,,Drift
12,BM2K1RP,Dipole,K1,2.4749999999999996,3.675,3.0749999999999997,1.2000000000000002,,,,0.0,0.0,Main bending dipole
13,D3L4K1RP,Drift,K1,3.675,4.1,3.8874999999999997,0.4249999999999998,,,,,,Drift
14,S2M2K1RP,Sextupole,K1,4.1,4.199999999999999,4.1499999999999995,0.09999999999999964,S2P1RP,S2P1RP:setCur,S2P1RP:rdCur,0.0,0.0,Sextupole / chromatic correction family member
15,D4L2K1RP_1,Drift,,4.199999999999999,4.249,4.224499999999999,0.04900000000000038,,,,,,Drift
16,BPMZ7K1RP,Monitor,K1,4.249,4.249,4.249,0.0,,,,,,Beam position monitor
17,D4L2K1RP_2,Drift,,4.249,4.5,4.374499999999999,0.25100000000000033,,,,,,Drift
18,S1M2K1RP,Sextupole,K1,4.5,4.6,4.55,0.09999999999999964,S1P1RP,S1P1RP:setCur,S1P1RP:rdCur,0.0,0.0,Sextupole / chromatic correction family member
19,D1L6K1RP,Drift,K1,4.6,4.75,4.675,0.15000000000000036,,,,,,Drift
20,Q1M2K1RP,Quadrupole,K1,4.75,4.95,4.85,0.20000000000000018,Q1P2K1RP,Q1P2K1RP:setCur,Q1P2K1RP:rdCur,2.8234,0.0,Quadrupole focusing element
21,D2L2K1RP,Drift,K1,4.95,5.075,5.0125,0.125,,,,,,Drift
22,OMK1RP,Octupole,K1,5.075,5.175,5.125,0.09999999999999964,OP1RP,OP1RP:setCur,OP1RP:rdCur,0.0,0.0,Octupole / nonlinear optics element
23,D2L1L2RP_1,Drift,,5.175,5.229,5.202,0.05400000000000027,,,,,,Drift
24,BPMZ1L2RP,Monitor,L2,5.229,5.229,5.229,0.0,,,,,,Beam position monitor
25,D2L1L2RP_2,Drift,,5.229,5.3,5.2645,0.07099999999999973,,,,,,Drift
26,Q1M1L2RP,Quadrupole,L2,5.3,5.5,5.4,0.20000000000000018,Q1P1L2RP,Q1P1L2RP:setCur,Q1P1L2RP:rdCur,2.8234,0.0,Quadrupole focusing element
27,D1L1L2RP,Drift,L2,5.5,5.65,5.575,0.15000000000000036,,,,,,Drift
28,S1M1L2RP,Sextupole,L2,5.65,5.75,5.7,0.09999999999999964,S1P1RP,S1P1RP:setCur,S1P1RP:rdCur,0.0,0.0,Sextupole / chromatic correction family member
29,D4L1L2RP,Drift,L2,5.75,6.05,5.9,0.2999999999999998,,,,,,Drift
