element,attribute,index,value
Q1M1K1RP,K,,2.8234
Q1M2K1RP,K,,2.8234
Q1M1L2RP,K,,2.8234
Q1M2L2RP,K,,2.8234
Q1M1K3RP,K,,2.8234
Q1M2K3RP,K,,2.8234
Q1M1L4RP,K,,2.8234
Q1M2L4RP,K,,2.8234
Q2M1K1RP,K,,-4.4988
Q2M2K1RP,K,,-4.4988
Q2M1L2RP,K,,-4.2005
Q2M2L2RP,K,,-4.2005
Q2M1K3RP,K,,-4.4988
Q2M2K3RP,K,,-4.4988
Q2M1L4RP,K,,-4.2005
Q2M2L4RP,K,,-4.2005
Q3M1K1RP,K,,5.0973
Q3M2K1RP,K,,5.0973
Q3M1L2RP,K,,5.1358
Q3M2L2RP,K,,5.1358
Q3M1K3RP,K,,5.0973
Q3M2K3RP,K,,5.0973
Q3M1L4RP,K,,5.1358
Q3M2L4RP,K,,5.1358
S1M2K1RP,H,,0
S1M1L2RP,H,,0
S1M2L4RP,H,,0
S1M1K1RP,H,,0
S1M2L2RP,H,,63.72
S1M1K3RP,H,,63.72
S1M2K3RP,H,,63.72
S1M1L4RP,H,,63.72
S2M2K1RP,H,,0
S2M1L2RP,H,,0
S2M2L4RP,H,,0
S2M1K1RP,H,,0
S2M1K3RP,H,,-81.72
S2M2K3RP,H,,-81.72
S2M2L2RP,H,,-81.72
S2M1L4RP,H,,-81.72
S3M2K1RP,H,,9
S3M1L2RP,H,,9
S3M2L4RP,H,,9
S3M1K1RP,H,,9
S3M2L2RP,H,,-9
S3M1K3RP,H,,-9
S3M2K3RP,H,,-9
S3M1L4RP,H,,-9
OMK1RP,PolynomA,3,-400
OML4RP,PolynomA,3,-400
OML2RP,PolynomA,3,-400
OMK3RP,PolynomA,3,-400
