element,attribute,index,value
Q1M1K1RP,K,,3.1793
Q1M2K1RP,K,,3.1793
Q1M1L2RP,K,,3.1793
Q1M2L2RP,K,,3.1793
Q1M1K3RP,K,,3.1793
Q1M2K3RP,K,,3.1793
Q1M1L4RP,K,,3.46049
Q1M2L4RP,K,,3.46049
Q2M1K1RP,K,,-4.47299
Q2M2K1RP,K,,-4.47299
Q2M1L2RP,K,,-4.10793
Q2M2L2RP,K,,-4.10793
Q2M1K3RP,K,,-4.47299
Q2M2K3RP,K,,-4.47299
Q2M1L4RP,K,,-4.10793
Q2M2L4RP,K,,-4.10793
Q3M1K1RP,K,,5.01444
Q3M2K1RP,K,,5.01444
Q3M1L2RP,K,,4.89629
Q3M2L2RP,K,,4.89629
Q3M1K3RP,K,,5.01444
Q3M2K3RP,K,,5.01444
Q3M1L4RP,K,,4.89629
Q3M2L4RP,K,,4.89629
S1M2K1RP,H,,22.3716
S1M1L2RP,H,,22.3716
S1M2L4RP,H,,22.3716
S1M1K1RP,H,,22.3716
S1M2L2RP,H,,22.3716
S1M1K3RP,H,,22.3716
S1M2K3RP,H,,22.3716
S1M1L4RP,H,,22.3716
S2M2K1RP,H,,-35.30955
S2M1L2RP,H,,-35.30955
S2M2L4RP,H,,-35.30955
S2M1K1RP,H,,-35.30955
S2M1K3RP,H,,-35.30955
S2M2K3RP,H,,-35.30955
S2M2L2RP,H,,-35.30955
S2M1L4RP,H,,-35.30955
S3M2K1RP,H,,-3.8175
S3M1L2RP,H,,-3.8175
S3M2L4RP,H,,-3.8175
S3M1K1RP,H,,-3.8175
S3M2L2RP,H,,-3.8175
S3M1K3RP,H,,-3.8175
S3M2K3RP,H,,-3.8175
S3M1L4RP,H,,-3.8175
OMK1RP,PolynomA,3,"-16.666666666666668"
OML4RP,PolynomA,3,"-16.666666666666668"
OML2RP,PolynomA,3,"-16.666666666666668"
OMK3RP,PolynomA,3,"-16.666666666666668"
,,
