element,attribute,index,value
Q1M1K1RP,K,,2.7109
Q1M2K1RP,K,,2.7109
Q1M1L2RP,K,,2.7109
Q1M2L2RP,K,,2.7109
Q1M1K3RP,K,,2.7109
Q1M2K3RP,K,,2.7109
Q1M1L4RP,K,,2.7109
Q1M2L4RP,K,,2.7109
Q2M1K1RP,K,,-4.358
Q2M2K1RP,K,,-4.358
Q2M1L2RP,K,,-4.7055
Q2M2L2RP,K,,-4.7055
Q2M1K3RP,K,,-4.358
Q2M2K3RP,K,,-4.358
Q2M1L4RP,K,,-4.7055
Q2M2L4RP,K,,-4.7055
Q3M1K1RP,K,,5.3454
Q3M2K1RP,K,,5.3454
Q3M1L2RP,K,,5.8778
Q3M2L2RP,K,,5.8778
Q3M1K3RP,K,,5.3454
Q3M2K3RP,K,,5.3454
Q3M1L4RP,K,,5.8778
Q3M2L4RP,K,,5.8778
S1M2K1RP,H,,0
S1M1L2RP,H,,0
S1M2L4RP,H,,0
S1M1K1RP,H,,0
S1M2L2RP,H,,0
S1M1K3RP,H,,0
S1M2K3RP,H,,0
S1M1L4RP,H,,0
S2M2K1RP,H,,0
S2M1L2RP,H,,0
S2M2L4RP,H,,0
S2M1K1RP,H,,0
S2M1K3RP,H,,0
S2M2K3RP,H,,0
S2M2L2RP,H,,0
S2M1L4RP,H,,0
S3M2K1RP,H,,0
S3M1L2RP,H,,0
S3M2L4RP,H,,0
S3M1K1RP,H,,0
S3M2L2RP,H,,0
S3M1K3RP,H,,0
S3M2K3RP,H,,0
S3M1L4RP,H,,0
OMK1RP,PolynomA,3,"0"
OML4RP,PolynomA,3,"0"
OML2RP,PolynomA,3,"0"
OMK3RP,PolynomA,3,"0"
,,
