element,attribute,index,value
Q1M1K1RP,K,,3.17415
Q1M2K1RP,K,,3.17415
Q1M1L2RP,K,,3.48845
Q1M2L2RP,K,,3.48845
Q1M1K3RP,K,,3.17415
Q1M2K3RP,K,,3.17415
Q1M1L4RP,K,,3.17415
Q1M2L4RP,K,,3.17415
Q2M1K1RP,K,,-4.398
Q2M2K1RP,K,,-4.398
Q2M1L2RP,K,,-4.1325
Q2M2L2RP,K,,-4.1325
Q2M1K3RP,K,,-4.398
Q2M2K3RP,K,,-4.398
Q2M1L4RP,K,,-4.1325
Q2M2L4RP,K,,-4.1325
Q3M1K1RP,K,,4.9426
Q3M2K1RP,K,,4.9426
Q3M1L2RP,K,,4.9325
Q3M2L2RP,K,,4.9325
Q3M1K3RP,K,,4.9426
Q3M2K3RP,K,,4.9426
Q3M1L4RP,K,,4.9325
Q3M2L4RP,K,,4.9325
S1M2K1RP,H,,23.07705
S1M1L2RP,H,,23.07705
S1M2L4RP,H,,23.07705
S1M1K1RP,H,,23.07705
S1M2L2RP,H,,23.07705
S1M1K3RP,H,,23.07705
S1M2K3RP,H,,23.07705
S1M1L4RP,H,,23.07705
S2M2K1RP,H,,-36.02515
S2M1L2RP,H,,-36.02515
S2M2L4RP,H,,-36.02515
S2M1K1RP,H,,-36.02515
S2M1K3RP,H,,-40.02515
S2M2K3RP,H,,-40.02515
S2M2L2RP,H,,-40.02515
S2M1L4RP,H,,-40.02515
S3M2K1RP,H,,-5.3741
S3M1L2RP,H,,-5.3741
S3M2L4RP,H,,-5.3741
S3M1K1RP,H,,-5.3741
S3M2L2RP,H,,-5.3741
S3M1K3RP,H,,-5.3741
S3M2K3RP,H,,-5.3741
S3M1L4RP,H,,-5.3741
OMK1RP,PolynomA,3,"-165.0"
OML4RP,PolynomA,3,"-165.0"
OML2RP,PolynomA,3,"-165.0"
OMK3RP,PolynomA,3,"-165.0"
,,
